[Info  - 22:31:08] Angular language server process ID: 2612679
[Info  - 22:31:08] Using typescript/lib/tsserverlibrary v4.8.2 from /home/ju/.vscode/extensions/angular.ng-template-15.1.0/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 22:31:08] Using @angular/language-service v15.1.0 from /home/ju/.vscode/extensions/angular.ng-template-15.1.0/node_modules/@angular/language-service/index.js
[Info  - 22:31:08] Logging is turned off. To enable, run command 'Open Angular server log'.
[Error - 22:31:09] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:09] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:09] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:09] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:10] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:14] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:17] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:23] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:23] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:23] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:24] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:35] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:38] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:43] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:31:54] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:32:14] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:32:15] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:32:15] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:32:15] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:32:15] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:32:15] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:32:16] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:32:16] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:32:16] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
[Error - 22:32:19] No config file for /home/ju/Scripts/angtest/material-prod/src/app/app.component.html
